Header_line;21
location;Drammen - Norway
year_of_construction;1964
floor_area;771
number_of_users;75
building_category;Kdg
central_heating_system;0
dhw_heat_source;HWH
sh_heat_source;EH,EFH
ventilation_heat_source;EHB
ventilation_types;CAV_sch
night_setback;1
lighting_control;0
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;6407

;Weather variable;Weather variable;Weather variable;Weather variable;Electricity import
;C;W/m2;m/s;deg;Wh
;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Electricity imported 
TimeStamp;Tout;SolGlob;WindSpd;WindDir;ElImp
2018-01-01T00:00:00+0100;-3.0;0.0;0.81;67.55;21000.0
2018-01-01T01:00:00+0100;-3.02;0.0;0.65;100.01;19000.0
2018-01-01T02:00:00+0100;-2.69;0.0;0.7;122.12;21000.0
2018-01-01T03:00:00+0100;-2.65;0.0;0.42;137.45;20000.0
2018-01-01T04:00:00+0100;-2.75;0.0;0.42;133.66;20000.0
2018-01-01T05:00:00+0100;-2.45;0.0;0.39;157.91;20000.0
2018-01-01T06:00:00+0100;-1.94;0.0;0.91;160.3;20000.0
2018-01-01T07:00:00+0100;-1.99;-0.0;0.95;172.28;24000.0
2018-01-01T08:00:00+0100;-1.96;0.0;1.47;184.45;28000.0
2018-01-01T09:00:00+0100;-1.31;5.48;1.3;193.24;27000.0
2018-01-01T10:00:00+0100;-1.68;46.3;0.99;208.0;28000.0
2018-01-01T11:00:00+0100;-1.36;76.1;0.73;192.84;26000.0
2018-01-01T12:00:00+0100;-1.16;64.76;0.28;182.72;27000.0
2018-01-01T13:00:00+0100;-0.98;49.35;1.15;182.82;26000.0
2018-01-01T14:00:00+0100;-0.76;21.33;0.89;186.82;26000.0
2018-01-01T15:00:00+0100;-0.41;1.1;0.69;201.96;26000.0
2018-01-01T16:00:00+0100;-0.35;0.0;1.68;201.77;26000.0
2018-01-01T17:00:00+0100;-0.29;0.0;0.92;198.63;25000.0
2018-01-01T18:00:00+0100;-0.33;0.0;0.4;188.54;18000.0
2018-01-01T19:00:00+0100;-0.66;0.0;1.48;260.92;19000.0
2018-01-01T20:00:00+0100;-0.61;0.0;0.81;242.22;19000.0
2018-01-01T21:00:00+0100;-0.37;0.0;1.07;259.77;17000.0
2018-01-01T22:00:00+0100;-0.52;0.0;0.28;287.06;18000.0
2018-01-01T23:00:00+0100;-0.34;0.0;1.93;265.77;19000.0
2018-01-02T00:00:00+0100;-0.18;0.0;2.33;275.47;18000.0
2018-01-02T01:00:00+0100;-0.33;0.0;2.8;276.2;19000.0
2018-01-02T02:00:00+0100;-0.82;0.0;3.72;279.7;19000.0
2018-01-02T03:00:00+0100;-1.31;0.0;3.89;278.04;19000.0
2018-01-02T04:00:00+0100;-1.59;0.0;3.1;276.13;19000.0
2018-01-02T05:00:00+0100;-1.6;0.0;3.44;278.9;27000.0
2018-01-02T06:00:00+0100;-2.13;0.0;3.41;277.87;29000.0
2018-01-02T07:00:00+0100;-2.8;-0.0;3.11;273.34;33000.0
2018-01-02T08:00:00+0100;-3.35;0.0;2.85;279.55;39000.0
2018-01-02T09:00:00+0100;-3.37;6.57;2.71;280.3;38000.0
2018-01-02T10:00:00+0100;-3.21;50.4;3.3;275.66;37000.0
2018-01-02T11:00:00+0100;-3.43;88.19;3.42;272.79;39000.0
2018-01-02T12:00:00+0100;-3.25;96.8;3.14;279.48;40000.0
2018-01-02T13:00:00+0100;-3.03;76.78;2.25;275.64;44000.0
2018-01-02T14:00:00+0100;-2.36;39.79;2.33;278.41;44000.0
2018-01-02T15:00:00+0100;-2.08;2.12;2.42;274.04;42000.0
2018-01-02T16:00:00+0100;-2.83;0.0;3.08;272.69;45000.0
2018-01-02T17:00:00+0100;-3.65;0.0;2.69;271.48;47000.0
2018-01-02T18:00:00+0100;-4.22;0.0;2.39;272.04;23000.0
2018-01-02T19:00:00+0100;-4.79;0.0;2.31;269.63;20000.0
2018-01-02T20:00:00+0100;-5.33;0.0;2.75;267.54;21000.0
2018-01-02T21:00:00+0100;-5.8;0.0;2.53;265.54;21000.0
2018-01-02T22:00:00+0100;-6.13;0.0;1.76;248.74;21000.0
