Header_line;24
location;Drammen - Norway
year_of_construction;1986
floor_area;3327
number_of_users;49
number_of_units;5
building_category;Nsh
energy_label;C
notes;Renovated/expanded in 2009
central_heating_system;0
dhw_heat_source;HWH
sh_heat_source;EH
ventilation_heat_source;EHB
ventilation_types;DCV
night_setback;1
lighting_control;0
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;6410

;Weather variable;Weather variable;Weather variable;Weather variable;Electricity import;Electricity use;Heat use
;C;W/m2;m/s;deg;Wh;Wh;Wh
;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Electricity imported ;Electricity for DHW production and heat tracing;Domestic Hot Water
TimeStamp;Tout;SolGlob;WindSpd;WindDir;ElImp;ElDHW;HtDHW
2018-01-03T22:00:00+0100;0.12;0.0;4.36;24.71;115000.0;;
2018-01-03T23:00:00+0100;0.11;0.0;4.24;22.3;70000.0;;
2018-01-04T00:00:00+0100;0.09;0.0;4.1;20.67;68000.0;;
2018-01-04T01:00:00+0100;0.11;0.0;4.42;31.32;67000.0;;
2018-01-04T02:00:00+0100;0.12;0.0;4.55;26.34;59000.0;;
2018-01-04T03:00:00+0100;0.08;0.0;4.06;21.39;75000.0;;
2018-01-04T04:00:00+0100;0.06;0.0;4.04;24.45;75000.0;;
2018-01-04T05:00:00+0100;0.16;0.0;4.0;25.15;75000.0;;
2018-01-04T06:00:00+0100;0.17;0.0;3.52;16.25;75000.0;;
2018-01-04T07:00:00+0100;0.31;-0.0;3.5;17.35;75000.0;;
2018-01-04T08:00:00+0100;0.36;0.0;3.67;25.86;139000.0;;
2018-01-04T09:00:00+0100;0.44;0.58;3.25;24.97;146000.0;;
2018-01-04T10:00:00+0100;0.41;4.65;3.09;11.88;146000.0;;
2018-01-04T11:00:00+0100;0.49;6.58;2.76;356.19;146000.0;;
2018-01-04T12:00:00+0100;0.55;21.3;3.12;6.19;158000.0;;
2018-01-04T13:00:00+0100;0.68;7.22;3.24;357.02;142000.0;;
2018-01-04T14:00:00+0100;0.61;2.33;3.06;354.22;140000.0;;
2018-01-04T15:00:00+0100;0.54;0.37;2.91;352.22;146000.0;;
2018-01-04T16:00:00+0100;0.35;0.0;3.37;358.17;131000.0;;
2018-01-04T17:00:00+0100;0.37;0.0;3.39;356.69;115000.0;;
2018-01-04T18:00:00+0100;0.47;0.0;3.4;358.0;114000.0;;
2018-01-04T19:00:00+0100;0.54;0.0;3.05;359.24;115000.0;;
2018-01-04T20:00:00+0100;0.56;0.0;2.85;11.14;114000.0;;
2018-01-04T21:00:00+0100;0.56;0.0;2.92;9.58;115000.0;;
2018-01-04T22:00:00+0100;0.43;0.0;3.24;0.32;114000.0;;
2018-01-04T23:00:00+0100;0.16;0.0;3.44;3.86;115000.0;;
2018-01-05T00:00:00+0100;0.02;0.0;3.47;358.85;68000.0;;
2018-01-05T01:00:00+0100;-0.11;0.0;3.48;0.24;64000.0;;
2018-01-05T02:00:00+0100;-0.22;0.0;3.49;358.45;59000.0;;
2018-01-05T03:00:00+0100;-0.33;0.0;3.85;359.7;60000.0;;
2018-01-05T04:00:00+0100;-0.47;0.0;3.71;3.34;58000.0;;
2018-01-05T05:00:00+0100;-0.6;0.0;3.64;1.11;60000.0;;
2018-01-05T06:00:00+0100;-0.74;0.0;3.68;1.91;111000.0;;
2018-01-05T07:00:00+0100;-0.8;-0.0;3.8;1.94;99000.0;;
2018-01-05T08:00:00+0100;-0.83;0.0;3.85;3.07;134000.0;;
2018-01-05T09:00:00+0100;-0.88;1.69;3.68;1.19;148000.0;;
2018-01-05T10:00:00+0100;-1.02;10.16;3.78;1.45;143000.0;;
2018-01-05T11:00:00+0100;-0.93;18.98;3.56;1.72;153000.0;;
2018-01-05T12:00:00+0100;-0.76;21.28;3.45;1.08;140000.0;;
2018-01-05T13:00:00+0100;-0.75;37.44;3.54;3.39;150000.0;;
2018-01-05T14:00:00+0100;-0.88;34.35;3.6;6.13;145000.0;;
2018-01-05T15:00:00+0100;-1.13;2.36;3.15;359.57;140000.0;;
2018-01-05T16:00:00+0100;-1.28;0.0;3.08;356.32;141000.0;;
2018-01-05T17:00:00+0100;-1.98;0.0;2.92;345.48;140000.0;;
2018-01-05T18:00:00+0100;-2.66;0.0;2.81;343.84;141000.0;;
2018-01-05T19:00:00+0100;-3.55;0.0;2.67;337.49;140000.0;;
2018-01-05T20:00:00+0100;-4.28;0.0;2.47;325.51;137000.0;;
2018-01-05T21:00:00+0100;-4.4;0.0;2.57;312.77;137000.0;;
2018-01-05T22:00:00+0100;-4.26;0.0;2.58;317.0;120000.0;;
2018-01-05T23:00:00+0100;-4.88;0.0;2.61;306.27;78000.0;;
2018-01-06T00:00:00+0100;-5.31;0.0;2.84;308.67;73000.0;;
2018-01-06T01:00:00+0100;-5.73;0.0;3.24;306.9;70000.0;;
2018-01-06T02:00:00+0100;-5.24;0.0;3.18;303.81;67000.0;;
2018-01-06T03:00:00+0100;-5.41;0.0;3.09;305.67;61000.0;;
2018-01-06T04:00:00+0100;-5.53;0.0;3.24;308.74;64000.0;;
2018-01-06T05:00:00+0100;-5.44;0.0;3.51;308.76;65000.0;;
2018-01-06T06:00:00+0100;-5.3;0.0;3.61;306.71;123000.0;;
2018-01-06T07:00:00+0100;-5.21;-0.0;3.83;305.89;127000.0;;
2018-01-06T08:00:00+0100;-4.8;0.0;3.97;306.84;128000.0;;
2018-01-06T09:00:00+0100;-5.21;8.0;3.91;307.41;151000.0;;
2018-01-06T10:00:00+0100;-5.55;51.63;3.87;311.33;146000.0;;
2018-01-06T11:00:00+0100;-5.91;97.0;3.03;309.42;156000.0;;
2018-01-06T12:00:00+0100;-5.84;112.04;2.92;295.71;160000.0;;
2018-01-06T13:00:00+0100;-5.62;94.42;2.39;291.65;138000.0;;
2018-01-06T14:00:00+0100;-5.14;49.33;3.8;299.07;144000.0;;
2018-01-06T15:00:00+0100;-5.55;4.38;3.67;291.44;153000.0;;
2018-01-06T16:00:00+0100;-6.29;0.0;3.78;294.85;152000.0;;
2018-01-06T17:00:00+0100;-6.51;0.0;4.54;298.55;153000.0;;
2018-01-06T18:00:00+0100;-6.86;0.0;4.68;301.93;152000.0;;
2018-01-06T19:00:00+0100;-6.6;0.0;5.06;301.98;153000.0;;
2018-01-06T20:00:00+0100;-7.46;0.0;4.26;301.81;159000.0;;
2018-01-06T21:00:00+0100;-7.71;0.0;4.61;297.04;158000.0;;
2018-01-06T22:00:00+0100;-7.79;0.0;4.72;291.49;144000.0;;
2018-01-06T23:00:00+0100;-8.34;0.0;4.8;290.55;81000.0;;
2018-01-07T00:00:00+0100;-8.77;0.0;4.81;288.24;83000.0;;
2018-01-07T01:00:00+0100;-9.26;0.0;3.98;286.09;78000.0;;
2018-01-07T02:00:00+0100;-9.87;0.0;3.96;277.52;75000.0;;
2018-01-07T03:00:00+0100;-9.89;0.0;4.04;285.36;130000.0;;
2018-01-07T04:00:00+0100;-10.29;0.0;3.99;279.91;130000.0;;
2018-01-07T05:00:00+0100;-10.35;0.0;3.68;271.61;130000.0;;
2018-01-07T06:00:00+0100;-11.2;0.0;3.16;211.86;129000.0;;
2018-01-07T07:00:00+0100;-11.74;-0.0;3.14;220.43;130000.0;;
2018-01-07T08:00:00+0100;-11.95;0.0;3.56;238.13;130000.0;;
2018-01-07T09:00:00+0100;-11.94;7.73;3.16;240.36;130000.0;;
