Header_line;22
location;Drammen - Norway
year_of_construction;2013
floor_area;1429
number_of_users;96
building_category;Kdg
energy_label;C
central_heating_system;1
dhw_heat_source;GSHP,EB
sh_heat_source;GSHP,EB
ventilation_heat_source;GSHP,EB
ventilation_types;CAV_sch
night_setback;1
lighting_control;1
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;6421

;Weather variable;Weather variable;Weather variable;Weather variable;Electricity use;Electricity import;Heat production
;C;W/m2;m/s;deg;Wh;Wh;Wh
;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Electricity for electric boiler;Electricity imported ;Heat from heat pumps
TimeStamp;Tout;SolGlob;WindSpd;WindDir;ElBoil;ElImp;HtHP
2018-01-01T00:00:00+0100;-2.16;0.0;1.16;290.7;0.0;27000.0;40000.0
2018-01-01T01:00:00+0100;-1.98;0.0;0.67;276.37;0.0;28000.0;40000.0
2018-01-01T02:00:00+0100;-2.12;0.0;0.74;246.42;0.0;27000.0;50000.0
2018-01-01T03:00:00+0100;-1.76;0.0;1.05;244.09;0.0;28000.0;40000.0
2018-01-01T04:00:00+0100;-1.65;0.0;0.82;240.66;0.0;29000.0;50000.0
2018-01-01T05:00:00+0100;-1.39;0.0;1.17;238.52;0.0;27000.0;40000.0
2018-01-01T06:00:00+0100;-1.08;0.0;1.82;201.01;0.0;27000.0;40000.0
2018-01-01T07:00:00+0100;-1.08;-0.0;1.84;225.12;0.0;26000.0;40000.0
2018-01-01T08:00:00+0100;-1.1;0.0;2.18;219.55;0.0;27000.0;40000.0
2018-01-01T09:00:00+0100;-0.95;5.49;1.16;234.18;0.0;27000.0;40000.0
2018-01-01T10:00:00+0100;-1.3;43.25;1.14;256.44;0.0;23000.0;40000.0
2018-01-01T11:00:00+0100;-0.58;46.56;1.82;253.34;0.0;26000.0;40000.0
2018-01-01T12:00:00+0100;-0.21;61.16;1.15;260.08;0.0;29000.0;40000.0
2018-01-01T13:00:00+0100;-0.25;46.31;1.32;226.28;0.0;25000.0;30000.0
2018-01-01T14:00:00+0100;-0.0;20.94;1.3;256.2;0.0;27000.0;40000.0
2018-01-01T15:00:00+0100;0.32;1.17;1.19;243.08;0.0;25000.0;30000.0
2018-01-01T16:00:00+0100;0.02;0.0;1.54;233.31;0.0;27000.0;40000.0
2018-01-01T17:00:00+0100;-0.31;0.0;1.01;234.55;0.0;27000.0;40000.0
2018-01-01T18:00:00+0100;0.02;0.0;0.71;234.68;0.0;26000.0;40000.0
2018-01-01T19:00:00+0100;-0.15;0.0;2.11;261.24;0.0;27000.0;40000.0
2018-01-01T20:00:00+0100;-0.41;0.0;1.34;249.02;0.0;23000.0;40000.0
2018-01-01T21:00:00+0100;-0.32;0.0;1.65;261.42;0.0;27000.0;40000.0
2018-01-01T22:00:00+0100;-0.0;0.0;0.91;315.31;0.0;27000.0;40000.0
2018-01-01T23:00:00+0100;0.2;0.0;1.9;266.16;0.0;25000.0;30000.0
2018-01-02T00:00:00+0100;0.1;0.0;2.15;277.31;0.0;27000.0;40000.0
2018-01-02T01:00:00+0100;-0.04;0.0;2.43;281.44;0.0;26000.0;40000.0
2018-01-02T02:00:00+0100;-0.62;0.0;3.79;286.28;0.0;27000.0;40000.0
2018-01-02T03:00:00+0100;-0.97;0.0;4.19;281.34;0.0;28000.0;50000.0
2018-01-02T04:00:00+0100;-1.07;0.0;3.16;280.27;0.0;27000.0;30000.0
2018-01-02T05:00:00+0100;-1.15;0.0;3.19;284.22;0.0;26000.0;50000.0
2018-01-02T06:00:00+0100;-1.53;0.0;3.33;285.08;0.0;29000.0;40000.0
2018-01-02T07:00:00+0100;-1.95;-0.0;3.26;278.57;0.0;36000.0;40000.0
2018-01-02T08:00:00+0100;-2.41;0.0;3.09;283.16;0.0;36000.0;50000.0
2018-01-02T09:00:00+0100;-2.66;6.6;2.63;283.89;0.0;37000.0;40000.0
2018-01-02T10:00:00+0100;-2.87;50.33;3.3;281.03;0.0;36000.0;40000.0
2018-01-02T11:00:00+0100;-2.74;88.04;2.53;277.68;0.0;35000.0;30000.0
2018-01-02T12:00:00+0100;-2.26;97.37;2.58;284.45;0.0;34000.0;40000.0
2018-01-02T13:00:00+0100;-2.0;77.87;2.33;279.41;0.0;32000.0;30000.0
2018-01-02T14:00:00+0100;-1.31;39.47;2.33;280.02;0.0;34000.0;40000.0
2018-01-02T15:00:00+0100;-1.24;2.07;2.65;278.0;0.0;33000.0;30000.0
2018-01-02T16:00:00+0100;-2.03;0.01;2.82;273.5;0.0;32000.0;40000.0
2018-01-02T17:00:00+0100;-3.07;0.0;2.39;275.64;0.0;26000.0;50000.0
2018-01-02T18:00:00+0100;-3.42;0.0;2.36;275.3;0.0;32000.0;40000.0
2018-01-02T19:00:00+0100;-3.68;0.0;2.11;273.55;0.0;32000.0;40000.0
2018-01-02T20:00:00+0100;-4.15;0.0;2.31;271.03;0.0;31000.0;50000.0
2018-01-02T21:00:00+0100;-4.28;0.0;2.5;270.47;0.0;32000.0;50000.0
2018-01-02T22:00:00+0100;-4.35;0.0;2.09;265.1;0.0;28000.0;50000.0
2018-01-02T23:00:00+0100;-5.0;0.0;1.35;268.95;0.0;27000.0;50000.0
2018-01-03T00:00:00+0100;-5.45;0.0;1.1;250.68;0.0;27000.0;40000.0
2018-01-03T01:00:00+0100;-5.2;0.0;0.82;359.49;0.0;28000.0;50000.0
2018-01-03T02:00:00+0100;-4.69;0.0;1.65;282.91;0.0;28000.0;50000.0
2018-01-03T03:00:00+0100;-4.88;0.0;1.98;333.64;0.0;26000.0;50000.0
2018-01-03T04:00:00+0100;-4.59;0.0;2.57;343.74;0.0;26000.0;40000.0
2018-01-03T05:00:00+0100;-4.39;0.0;1.95;348.11;0.0;26000.0;40000.0
2018-01-03T06:00:00+0100;-4.06;0.0;2.63;349.72;0.0;29000.0;50000.0
2018-01-03T07:00:00+0100;-3.33;-0.0;1.92;334.64;0.0;35000.0;40000.0
2018-01-03T08:00:00+0100;-2.88;0.0;2.58;355.32;0.0;36000.0;40000.0
2018-01-03T09:00:00+0100;-2.59;0.2;2.83;59.15;0.0;37000.0;40000.0
2018-01-03T10:00:00+0100;-1.95;2.3;3.55;59.68;0.0;35000.0;40000.0
2018-01-03T11:00:00+0100;-1.0;3.97;3.62;62.46;0.0;35000.0;30000.0
2018-01-03T12:00:00+0100;-0.44;7.38;3.54;62.5;0.0;34000.0;30000.0
2018-01-03T13:00:00+0100;0.31;9.69;3.92;60.03;0.0;31000.0;30000.0
2018-01-03T14:00:00+0100;0.42;3.08;3.91;61.26;0.0;36000.0;40000.0
2018-01-03T15:00:00+0100;0.44;0.08;4.06;61.12;0.0;34000.0;30000.0
2018-01-03T16:00:00+0100;0.23;0.01;5.04;51.42;0.0;31000.0;40000.0
2018-01-03T17:00:00+0100;0.3;0.0;4.59;44.8;0.0;28000.0;30000.0
2018-01-03T18:00:00+0100;0.4;0.0;5.12;45.66;0.0;27000.0;40000.0
2018-01-03T19:00:00+0100;0.6;0.0;4.88;41.67;0.0;26000.0;30000.0
2018-01-03T20:00:00+0100;0.81;0.0;4.37;35.21;0.0;28000.0;30000.0
2018-01-03T21:00:00+0100;0.77;0.0;4.78;38.29;0.0;26000.0;40000.0
2018-01-03T22:00:00+0100;0.81;0.0;4.29;24.49;0.0;27000.0;40000.0
2018-01-03T23:00:00+0100;0.81;0.0;4.28;20.74;0.0;25000.0;30000.0
2018-01-04T00:00:00+0100;0.78;0.0;4.17;20.23;0.0;27000.0;40000.0
2018-01-04T01:00:00+0100;0.84;0.0;4.43;31.11;0.0;26000.0;40000.0
2018-01-04T02:00:00+0100;0.81;0.0;4.34;26.17;0.0;24000.0;40000.0
2018-01-04T03:00:00+0100;0.78;0.0;3.82;18.97;0.0;27000.0;40000.0
2018-01-04T04:00:00+0100;0.73;0.0;3.91;25.42;0.0;23000.0;30000.0
2018-01-04T05:00:00+0100;0.89;0.0;3.72;22.69;0.0;24000.0;30000.0
2018-01-04T06:00:00+0100;0.86;0.0;3.33;14.74;0.0;25000.0;40000.0
2018-01-04T07:00:00+0100;0.94;-0.0;3.24;14.36;0.0;32000.0;40000.0
2018-01-04T08:00:00+0100;0.99;0.0;3.49;22.84;0.0;33000.0;30000.0
2018-01-04T09:00:00+0100;1.08;0.49;3.12;22.95;0.0;33000.0;30000.0
2018-01-04T10:00:00+0100;1.11;4.36;2.99;6.13;0.0;36000.0;30000.0
2018-01-04T11:00:00+0100;1.17;7.18;2.66;353.82;0.0;33000.0;40000.0
2018-01-04T12:00:00+0100;1.29;18.35;2.97;359.46;0.0;33000.0;30000.0
2018-01-04T13:00:00+0100;1.39;7.25;3.02;352.93;0.0;33000.0;30000.0
2018-01-04T14:00:00+0100;1.39;2.42;2.98;354.28;0.0;32000.0;30000.0
2018-01-04T15:00:00+0100;1.13;0.28;2.71;350.98;0.0;34000.0;30000.0
2018-01-04T16:00:00+0100;0.83;-0.01;3.05;355.03;0.0;32000.0;30000.0
2018-01-04T17:00:00+0100;0.78;0.0;3.07;352.21;0.0;28000.0;30000.0
2018-01-04T18:00:00+0100;0.87;0.0;2.99;351.21;0.0;27000.0;30000.0
2018-01-04T19:00:00+0100;1.03;0.0;2.68;354.25;0.0;27000.0;30000.0
2018-01-04T20:00:00+0100;1.26;0.0;2.56;2.91;0.0;26000.0;40000.0
2018-01-04T21:00:00+0100;1.1;0.0;2.67;0.98;0.0;28000.0;30000.0
2018-01-04T22:00:00+0100;1.01;0.0;3.02;354.54;0.0;23000.0;30000.0
2018-01-04T23:00:00+0100;0.75;0.0;3.2;359.58;0.0;26000.0;40000.0
2018-01-05T00:00:00+0100;0.58;0.0;3.17;355.16;0.0;25000.0;40000.0
2018-01-05T01:00:00+0100;0.58;0.0;3.19;356.72;0.0;25000.0;40000.0
2018-01-05T02:00:00+0100;0.52;0.0;3.16;354.41;0.0;26000.0;40000.0
2018-01-05T03:00:00+0100;0.41;0.0;3.51;355.97;0.0;24000.0;30000.0
2018-01-05T04:00:00+0100;0.17;0.0;3.22;357.74;0.0;28000.0;40000.0
2018-01-05T05:00:00+0100;0.03;0.0;3.12;355.54;0.0;25000.0;30000.0
2018-01-05T06:00:00+0100;-0.01;0.0;3.24;357.0;0.0;28000.0;40000.0
2018-01-05T07:00:00+0100;0.01;-0.0;3.41;357.52;0.0;34000.0;40000.0
2018-01-05T08:00:00+0100;-0.04;0.0;3.33;357.49;0.0;35000.0;30000.0
2018-01-05T09:00:00+0100;-0.03;1.65;3.12;355.35;0.0;37000.0;40000.0
2018-01-05T10:00:00+0100;-0.2;8.96;3.2;355.86;0.0;35000.0;30000.0
2018-01-05T11:00:00+0100;-0.17;15.2;2.97;356.25;0.0;32000.0;30000.0
2018-01-05T12:00:00+0100;-0.11;16.34;2.96;355.27;0.0;31000.0;40000.0
2018-01-05T13:00:00+0100;-0.1;29.07;3.1;357.73;0.0;34000.0;30000.0
2018-01-05T14:00:00+0100;-0.13;31.88;3.16;359.78;0.0;36000.0;40000.0
2018-01-05T15:00:00+0100;-0.27;1.95;2.74;349.59;0.0;34000.0;30000.0
2018-01-05T16:00:00+0100;-0.25;0.0;2.56;341.57;0.0;32000.0;30000.0
2018-01-05T17:00:00+0100;-0.97;0.0;2.6;331.4;0.0;28000.0;30000.0
2018-01-05T18:00:00+0100;-1.72;0.0;2.47;331.7;0.0;30000.0;40000.0
2018-01-05T19:00:00+0100;-2.59;0.0;2.33;326.84;0.0;30000.0;40000.0
2018-01-05T20:00:00+0100;-3.01;0.0;2.18;301.68;0.0;32000.0;40000.0
2018-01-05T21:00:00+0100;-2.9;0.0;2.42;282.68;0.0;29000.0;40000.0
2018-01-05T22:00:00+0100;-3.08;0.0;2.4;290.49;0.0;28000.0;50000.0
2018-01-05T23:00:00+0100;-3.54;0.0;2.4;286.44;0.0;28000.0;40000.0
2018-01-06T00:00:00+0100;-4.22;0.0;2.56;288.5;0.0;28000.0;50000.0
2018-01-06T01:00:00+0100;-4.48;0.0;3.01;286.73;0.0;26000.0;50000.0
2018-01-06T02:00:00+0100;-4.66;0.0;2.92;282.21;0.0;27000.0;50000.0
2018-01-06T03:00:00+0100;-4.74;0.0;2.81;281.26;0.0;29000.0;50000.0
2018-01-06T04:00:00+0100;-4.77;0.0;3.18;285.55;0.0;30000.0;50000.0
2018-01-06T05:00:00+0100;-4.59;0.0;3.26;288.63;0.0;28000.0;50000.0
2018-01-06T06:00:00+0100;-4.52;0.0;3.33;286.16;0.0;27000.0;40000.0
2018-01-06T07:00:00+0100;-4.55;-0.0;3.45;284.42;0.0;29000.0;50000.0
2018-01-06T08:00:00+0100;-4.36;0.0;3.55;289.69;0.0;29000.0;60000.0
2018-01-06T09:00:00+0100;-4.53;7.55;3.54;296.97;0.0;28000.0;40000.0
2018-01-06T10:00:00+0100;-4.52;49.48;3.57;298.23;0.0;27000.0;50000.0
2018-01-06T11:00:00+0100;-4.97;95.08;2.78;297.93;0.0;29000.0;50000.0
2018-01-06T12:00:00+0100;-4.53;110.65;2.54;279.71;0.0;28000.0;50000.0
2018-01-06T13:00:00+0100;-4.41;93.26;2.32;252.93;0.0;26000.0;50000.0
2018-01-06T14:00:00+0100;-4.55;48.62;3.51;273.12;0.0;26000.0;40000.0
2018-01-06T15:00:00+0100;-4.61;4.28;3.45;267.6;0.0;28000.0;50000.0
2018-01-06T16:00:00+0100;-5.61;0.0;3.38;270.81;0.0;29000.0;50000.0
2018-01-06T17:00:00+0100;-5.79;0.0;4.25;279.14;0.0;29000.0;50000.0
2018-01-06T18:00:00+0100;-6.12;0.0;4.12;283.47;0.0;28000.0;50000.0
2018-01-06T19:00:00+0100;-6.42;0.0;4.43;282.87;0.0;31000.0;50000.0
2018-01-06T20:00:00+0100;-6.79;0.0;3.76;279.95;0.0;31000.0;60000.0
2018-01-06T21:00:00+0100;-7.33;0.0;4.2;280.12;0.0;30000.0;50000.0
2018-01-06T22:00:00+0100;-7.86;0.0;4.55;277.76;0.0;33000.0;60000.0
2018-01-06T23:00:00+0100;-8.41;0.0;4.6;278.38;0.0;33000.0;60000.0
2018-01-07T00:00:00+0100;-8.87;0.0;4.32;280.52;16000.0;46000.0;50000.0
2018-01-07T01:00:00+0100;-9.69;0.0;3.25;282.0;18000.0;47000.0;40000.0
2018-01-07T02:00:00+0100;-9.92;0.0;2.96;278.04;18000.0;46000.0;50000.0
2018-01-07T03:00:00+0100;-10.05;0.0;3.46;285.61;17000.0;45000.0;50000.0
2018-01-07T04:00:00+0100;-10.55;0.0;3.54;282.54;19000.0;46000.0;40000.0
2018-01-07T05:00:00+0100;-10.56;0.0;3.19;278.97;26000.0;55000.0;50000.0
2018-01-07T06:00:00+0100;-11.28;0.0;2.49;240.54;31000.0;58000.0;40000.0
2018-01-07T07:00:00+0100;-11.11;-0.0;2.92;240.92;25000.0;51000.0;40000.0
2018-01-07T08:00:00+0100;-11.18;0.0;2.74;260.11;20000.0;46000.0;40000.0
2018-01-07T09:00:00+0100;-11.76;7.4;2.62;257.12;20000.0;47000.0;40000.0
2018-01-07T10:00:00+0100;-10.98;40.76;1.62;201.02;18000.0;45000.0;40000.0
2018-01-07T11:00:00+0100;-10.15;60.32;2.3;223.58;17000.0;45000.0;40000.0
2018-01-07T12:00:00+0100;-8.92;61.4;2.77;214.44;15000.0;41000.0;50000.0
2018-01-07T13:00:00+0100;-7.38;51.98;2.64;215.61;0.0;31000.0;60000.0
2018-01-07T14:00:00+0100;-6.63;28.41;2.3;248.3;0.0;30000.0;50000.0
2018-01-07T15:00:00+0100;-6.09;2.93;2.8;275.45;0.0;32000.0;60000.0
2018-01-07T16:00:00+0100;-6.39;0.0;3.45;282.4;0.0;30000.0;50000.0
2018-01-07T17:00:00+0100;-5.5;0.0;4.57;286.09;0.0;29000.0;50000.0
2018-01-07T18:00:00+0100;-2.5;0.0;4.92;277.67;0.0;29000.0;40000.0
2018-01-07T19:00:00+0100;-1.68;0.0;4.19;271.88;0.0;28000.0;50000.0
2018-01-07T20:00:00+0100;0.04;0.0;3.35;271.83;0.0;27000.0;30000.0
2018-01-07T21:00:00+0100;-0.13;0.0;3.03;273.48;0.0;27000.0;40000.0
2018-01-07T22:00:00+0100;-0.72;0.0;3.18;277.93;0.0;28000.0;40000.0
2018-01-07T23:00:00+0100;-0.76;0.0;3.36;281.16;0.0;27000.0;40000.0
2018-01-08T00:00:00+0100;-1.42;0.0;4.66;280.9;0.0;27000.0;40000.0
2018-01-08T01:00:00+0100;-1.45;0.0;5.07;285.49;0.0;30000.0;50000.0
2018-01-08T02:00:00+0100;-2.08;0.0;4.21;282.04;0.0;30000.0;40000.0
2018-01-08T03:00:00+0100;-2.67;0.0;3.62;283.95;0.0;29000.0;50000.0
2018-01-08T04:00:00+0100;-2.76;0.0;3.4;283.77;0.0;31000.0;50000.0
2018-01-08T05:00:00+0100;-3.09;0.0;2.14;280.27;0.0;33000.0;50000.0
2018-01-08T06:00:00+0100;-3.56;0.0;2.15;267.76;0.0;33000.0;50000.0
2018-01-08T07:00:00+0100;-3.16;-0.0;2.12;265.47;0.0;38000.0;50000.0
2018-01-08T08:00:00+0100;-2.17;0.0;2.11;268.78;0.0;37000.0;40000.0
2018-01-08T09:00:00+0100;-2.4;8.52;4.11;221.2;0.0;37000.0;40000.0
2018-01-08T10:00:00+0100;-2.32;54.86;2.98;250.54;0.0;36000.0;40000.0
2018-01-08T11:00:00+0100;-1.39;93.4;2.42;255.9;0.0;36000.0;40000.0
2018-01-08T12:00:00+0100;-0.44;110.42;2.16;230.71;0.0;35000.0;40000.0
2018-01-08T13:00:00+0100;-0.95;93.97;1.13;247.0;0.0;34000.0;30000.0
2018-01-08T14:00:00+0100;-1.56;50.7;1.61;256.48;0.0;36000.0;40000.0
2018-01-08T15:00:00+0100;-2.29;5.56;2.77;239.03;0.0;35000.0;40000.0
2018-01-08T16:00:00+0100;-2.96;0.01;3.19;271.58;0.0;34000.0;40000.0
2018-01-08T17:00:00+0100;-3.3;0.0;2.79;275.86;0.0;32000.0;40000.0
2018-01-08T18:00:00+0100;-4.16;0.0;2.17;272.91;0.0;31000.0;50000.0
2018-01-08T19:00:00+0100;-4.84;0.0;2.48;267.22;0.0;31000.0;50000.0
2018-01-08T20:00:00+0100;-5.5;0.0;3.09;266.3;0.0;32000.0;50000.0
2018-01-08T21:00:00+0100;-5.6;0.0;3.17;256.6;0.0;28000.0;50000.0
2018-01-08T22:00:00+0100;-4.91;0.0;3.19;260.23;0.0;30000.0;50000.0
2018-01-08T23:00:00+0100;-5.32;0.0;2.6;254.61;0.0;29000.0;50000.0
2018-01-09T00:00:00+0100;-6.43;0.0;2.27;240.2;0.0;29000.0;50000.0
2018-01-09T01:00:00+0100;-6.74;0.0;2.49;242.41;0.0;30000.0;60000.0
2018-01-09T02:00:00+0100;-5.92;0.0;2.17;251.41;0.0;30000.0;50000.0
2018-01-09T03:00:00+0100;-6.48;0.0;1.79;261.09;0.0;31000.0;50000.0
2018-01-09T04:00:00+0100;-7.09;0.0;2.02;250.02;0.0;29000.0;50000.0
2018-01-09T05:00:00+0100;-6.55;0.0;2.13;249.03;0.0;29000.0;60000.0
2018-01-09T06:00:00+0100;-7.04;0.0;1.89;246.96;0.0;31000.0;50000.0
2018-01-09T07:00:00+0100;-7.69;-0.0;0.92;247.95;7000.0;42000.0;40000.0
2018-01-09T08:00:00+0100;-8.0;0.0;1.2;219.77;15000.0;49000.0;40000.0
2018-01-09T09:00:00+0100;-8.42;10.36;1.01;241.73;14000.0;49000.0;40000.0
2018-01-09T10:00:00+0100;-8.51;61.09;2.3;249.28;17000.0;49000.0;30000.0
2018-01-09T11:00:00+0100;-8.18;102.63;1.9;239.73;16000.0;51000.0;40000.0
2018-01-09T12:00:00+0100;-8.52;116.52;1.77;36.23;14000.0;47000.0;30000.0
2018-01-09T13:00:00+0100;-8.55;98.42;1.12;267.09;8000.0;44000.0;40000.0
2018-01-09T14:00:00+0100;-8.61;53.94;1.09;293.71;8000.0;44000.0;30000.0
2018-01-09T15:00:00+0100;-8.75;6.53;1.14;309.46;10000.0;45000.0;40000.0
2018-01-09T16:00:00+0100;-8.63;0.0;1.41;307.43;15000.0;48000.0;40000.0
2018-01-09T17:00:00+0100;-8.89;0.0;1.69;294.89;19000.0;48000.0;40000.0
2018-01-09T18:00:00+0100;-8.87;0.0;2.01;308.97;16000.0;45000.0;40000.0
2018-01-09T19:00:00+0100;-8.8;0.0;1.92;302.89;17000.0;45000.0;40000.0
2018-01-09T20:00:00+0100;-9.46;0.0;2.29;288.69;18000.0;46000.0;40000.0
2018-01-09T21:00:00+0100;-9.69;0.0;2.55;280.95;17000.0;46000.0;30000.0
2018-01-09T22:00:00+0100;-9.81;0.0;2.74;282.65;15000.0;42000.0;40000.0
2018-01-09T23:00:00+0100;-10.17;0.0;2.45;295.35;17000.0;44000.0;40000.0
2018-01-10T00:00:00+0100;-10.22;0.0;2.42;298.8;18000.0;46000.0;40000.0
2018-01-10T01:00:00+0100;-10.23;0.0;2.0;312.13;20000.0;49000.0;50000.0
2018-01-10T02:00:00+0100;-10.32;0.0;2.02;316.82;21000.0;50000.0;40000.0
2018-01-10T03:00:00+0100;-10.59;0.0;2.15;321.56;23000.0;52000.0;50000.0
2018-01-10T04:00:00+0100;-10.9;0.0;2.31;335.29;30000.0;59000.0;50000.0
2018-01-10T05:00:00+0100;-10.81;0.0;2.41;327.19;30000.0;58000.0;50000.0
2018-01-10T06:00:00+0100;-11.32;0.0;2.23;323.92;25000.0;53000.0;40000.0
2018-01-10T07:00:00+0100;-10.74;-0.0;2.48;319.85;20000.0;53000.0;40000.0
2018-01-10T08:00:00+0100;-11.05;0.0;2.4;317.36;21000.0;59000.0;40000.0
2018-01-10T09:00:00+0100;-10.68;4.79;2.45;327.28;20000.0;58000.0;40000.0
2018-01-10T10:00:00+0100;-10.63;20.12;2.23;330.03;18000.0;57000.0;50000.0
2018-01-10T11:00:00+0100;-10.27;17.76;1.98;331.89;17000.0;53000.0;40000.0
2018-01-10T12:00:00+0100;-9.31;29.19;1.96;336.34;17000.0;56000.0;40000.0
2018-01-10T13:00:00+0100;-8.75;19.95;2.15;337.14;15000.0;51000.0;40000.0
2018-01-10T14:00:00+0100;-8.01;21.94;1.89;332.74;0.0;41000.0;50000.0
2018-01-10T15:00:00+0100;-7.38;1.26;1.91;334.2;0.0;40000.0;50000.0
2018-01-10T16:00:00+0100;-6.55;0.0;2.74;356.41;0.0;36000.0;50000.0
2018-01-10T17:00:00+0100;-6.3;0.0;2.22;346.96;0.0;30000.0;50000.0
2018-01-10T18:00:00+0100;-6.25;0.0;2.13;339.08;0.0;33000.0;50000.0
2018-01-10T19:00:00+0100;-5.56;0.0;2.57;343.83;0.0;32000.0;60000.0
2018-01-10T20:00:00+0100;-5.23;0.0;2.83;344.58;0.0;32000.0;50000.0
2018-01-10T21:00:00+0100;-4.84;0.0;2.76;342.34;0.0;31000.0;50000.0
2018-01-10T22:00:00+0100;-4.19;0.0;2.69;344.46;0.0;31000.0;50000.0
2018-01-10T23:00:00+0100;-3.91;0.0;2.54;339.17;0.0;32000.0;50000.0
2018-01-11T00:00:00+0100;-3.49;0.0;2.49;343.35;0.0;32000.0;50000.0
2018-01-11T01:00:00+0100;-3.37;0.0;2.81;341.5;0.0;30000.0;40000.0
2018-01-11T02:00:00+0100;-3.1;0.0;2.95;337.14;0.0;31000.0;50000.0
2018-01-11T03:00:00+0100;-2.89;0.0;2.9;340.72;0.0;30000.0;50000.0
2018-01-11T04:00:00+0100;-2.78;0.0;3.0;350.63;0.0;27000.0;50000.0
2018-01-11T05:00:00+0100;-2.75;0.0;2.73;347.39;0.0;28000.0;40000.0
2018-01-11T06:00:00+0100;-2.67;0.0;2.78;350.74;0.0;32000.0;50000.0
2018-01-11T07:00:00+0100;-2.68;-0.0;2.59;352.19;0.0;37000.0;50000.0
2018-01-11T08:00:00+0100;-2.58;0.0;2.56;347.5;0.0;37000.0;40000.0
2018-01-11T09:00:00+0100;-2.5;1.24;2.58;352.76;0.0;42000.0;40000.0
2018-01-11T10:00:00+0100;-2.22;5.72;2.48;352.18;0.0;42000.0;40000.0
2018-01-11T11:00:00+0100;-1.97;10.19;2.41;345.15;0.0;37000.0;40000.0
2018-01-11T12:00:00+0100;-1.56;13.81;2.37;350.35;0.0;38000.0;40000.0
2018-01-11T13:00:00+0100;-1.41;11.36;2.44;349.55;0.0;39000.0;40000.0
2018-01-11T14:00:00+0100;-1.31;8.04;2.14;357.77;0.0;36000.0;40000.0
2018-01-11T15:00:00+0100;-1.34;1.58;2.03;356.15;0.0;34000.0;40000.0
2018-01-11T16:00:00+0100;-1.47;0.0;1.78;6.97;0.0;29000.0;30000.0
2018-01-11T17:00:00+0100;-1.62;0.0;1.74;3.95;0.0;27000.0;40000.0
2018-01-11T18:00:00+0100;-1.63;0.0;1.65;14.82;0.0;28000.0;40000.0
2018-01-11T19:00:00+0100;-1.68;0.0;1.68;2.47;0.0;28000.0;40000.0
2018-01-11T20:00:00+0100;-1.64;0.0;1.7;2.45;0.0;29000.0;40000.0
2018-01-11T21:00:00+0100;-1.64;0.0;1.29;6.4;0.0;30000.0;50000.0
2018-01-11T22:00:00+0100;-1.72;0.0;1.53;21.31;0.0;28000.0;40000.0
2018-01-11T23:00:00+0100;-1.85;0.0;1.66;22.19;0.0;27000.0;40000.0
2018-01-12T00:00:00+0100;-2.39;0.0;1.85;19.74;0.0;31000.0;50000.0
2018-01-12T01:00:00+0100;-2.84;0.0;2.08;24.33;0.0;30000.0;50000.0
2018-01-12T02:00:00+0100;-3.2;0.0;2.12;9.01;0.0;31000.0;50000.0
2018-01-12T03:00:00+0100;-3.48;0.0;2.04;357.23;0.0;30000.0;50000.0
2018-01-12T04:00:00+0100;-3.57;0.0;1.72;1.97;0.0;30000.0;40000.0
2018-01-12T05:00:00+0100;-3.57;0.0;1.44;2.4;0.0;29000.0;50000.0
2018-01-12T06:00:00+0100;-3.44;-0.0;1.79;2.25;0.0;29000.0;50000.0
2018-01-12T07:00:00+0100;-3.35;0.0;1.58;4.49;0.0;32000.0;40000.0
2018-01-12T08:00:00+0100;-3.18;0.0;1.42;353.97;0.0;32000.0;50000.0
2018-01-12T09:00:00+0100;-3.07;11.79;1.68;356.26;0.0;33000.0;40000.0
2018-01-12T10:00:00+0100;-2.84;58.03;1.43;337.76;0.0;32000.0;40000.0
2018-01-12T11:00:00+0100;-2.62;98.61;1.66;334.09;0.0;38000.0;30000.0
2018-01-12T12:00:00+0100;-2.27;121.26;1.58;335.67;0.0;31000.0;40000.0
2018-01-12T13:00:00+0100;-2.29;105.08;1.72;332.13;0.0;35000.0;30000.0
2018-01-12T14:00:00+0100;-2.38;57.03;2.05;331.31;0.0;30000.0;40000.0
2018-01-12T15:00:00+0100;-2.54;3.49;2.24;314.19;0.0;26000.0;40000.0
2018-01-12T16:00:00+0100;-2.53;0.0;2.17;285.85;0.0;27000.0;40000.0
2018-01-12T17:00:00+0100;-2.54;0.0;1.94;280.0;0.0;27000.0;40000.0
2018-01-12T18:00:00+0100;-2.64;0.0;2.02;295.67;0.0;29000.0;40000.0
2018-01-12T19:00:00+0100;-2.71;0.0;1.97;296.22;0.0;31000.0;40000.0
2018-01-12T20:00:00+0100;-2.83;0.0;2.08;294.21;0.0;27000.0;50000.0
2018-01-12T21:00:00+0100;-2.75;0.0;2.01;292.1;0.0;27000.0;40000.0
2018-01-12T22:00:00+0100;-2.67;0.0;1.82;313.26;0.0;28000.0;40000.0
2018-01-12T23:00:00+0100;-2.72;0.0;1.61;327.98;0.0;30000.0;50000.0
2018-01-13T00:00:00+0100;-2.66;0.0;1.7;336.8;0.0;29000.0;50000.0
