Header_line;17
location;Oslo Norway
year_of_construction;2009
floor_area;15127
number_of_users;1100
building_category;Sch
dhw_heat_source;DH
sh_heat_source;DH
pv;Roof:x:x
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;8102

;Heat import;Electricity import;Heat use;Electricity use;Electricity production;Weather variable;Weather variable;Weather variable;Weather variable;Weather variable
;Wh;Wh;Wh;Wh;Wh;C;W/m2;m/s;deg;%
;Imported District Heating;Electricity imported ;Heat Total = HtSpace + HtDHW;Electricity exported;Electricity production from PV;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Relative Humidity
TimeStamp;HtDH;ElImp;HtTot;ElExp;ElPV;Tout;SolGlob;WindSpd;WindDir;RH
2020-01-02T11:00:00+0100;260000.0;252000.0;260000.0;;;4.504388427734398;79.86666666666666;4.825697;190.03192;0.8580236
2020-01-02T12:00:00+0100;260000.0;241800.0;260000.0;;;4.890649414062523;91.69777777777776;5.102154;192.43799;0.8582372
2020-01-02T13:00:00+0100;250000.0;238200.0;250000.0;;;5.359826660156273;73.33333333333333;5.1996517;188.67296;0.84664065
2020-01-02T14:00:00+0100;270000.0;229800.0;270000.0;;;5.342492675781273;32.76444444444444;5.33079;187.69824;0.8371193
2020-01-02T15:00:00+0100;250000.0;217200.0;250000.0;;;5.042016601562523;0.9688888888888888;5.924388;187.64987;0.8515999
2020-01-02T16:00:00+0100;210000.0;189600.0;210000.0;;;5.308404541015648;0.0;5.361746;182.90251;0.87151235
2020-01-02T17:00:00+0100;180000.0;166200.0;180000.0;;;5.004602050781273;0.0;5.165798;184.28232;0.8847266
2020-01-02T18:00:00+0100;190000.0;133200.0;190000.0;;;5.721948242187523;0.0;5.8488708;196.0319;0.88887686
2020-01-02T19:00:00+0100;190000.0;132600.0;190000.0;;;5.980340576171898;0.0;6.388838;198.036;0.90505123
2020-01-02T20:00:00+0100;130000.0;85800.0;130000.0;;;6.028100585937523;0.0;7.2268724;198.33882;0.8882665
2020-01-02T21:00:00+0100;130000.0;84000.0;130000.0;;;5.781365966796898;1.4341799353050848e-14;7.3826027;198.79697;0.8711006
2020-01-02T22:00:00+0100;90000.0;72600.0;90000.0;;;6.110345458984398;1.4337851893407736e-14;7.3813205;195.05508;0.863959
2020-01-02T23:00:00+0100;90000.0;72000.0;90000.0;;;6.408990478515648;1.4329899150005646e-14;7.489804;195.86986;0.87532693
2020-01-03T00:00:00+0100;100000.0;70200.0;100000.0;;;6.605645751953148;1.432206205483529e-14;6.6656327;197.80128;0.8750373
2020-01-03T01:00:00+0100;90000.0;69600.0;90000.0;;;6.390008544921898;1.432206205483529e-14;6.9367366;193.07233;0.9196087
2020-01-03T02:00:00+0100;110000.0;70200.0;110000.0;;;6.332604980468773;1.4306272216262844e-14;6.8463655;193.64015;0.92040247
2020-01-03T03:00:00+0100;140000.0;69600.0;140000.0;;;6.396142578125023;1.4290482377690398e-14;6.8767633;193.30118;0.9085542
2020-01-03T04:00:00+0100;130000.0;70200.0;130000.0;;;6.937219238281273;1.4290482377690398e-14;5.8377953;196.38037;0.88408643
2020-01-03T05:00:00+0100;120000.0;81600.0;120000.0;;;7.251245117187523;1.4274634715002084e-14;6.086046;198.54018;0.8774567
2020-01-03T06:00:00+0100;200000.0;157200.0;200000.0;;;7.484368896484398;1.4290482377690398e-14;5.651888;207.73473;0.8811111
2020-01-03T07:00:00+0100;280000.0;192000.0;280000.0;;;7.180200195312523;-8.575862242565792e-14;4.5044565;230.0181;0.88616085
2020-01-03T08:00:00+0100;260000.0;213600.0;260000.0;;;6.757714843750023;0.0;2.6267717;245.96841;0.87528116
2020-01-03T09:00:00+0100;270000.0;223200.0;270000.0;;;6.287683105468773;6.782222222222222;3.3610356;236.88348;0.76375437
2020-01-03T10:00:00+0100;280000.0;236400.0;280000.0;;;5.813653564453148;50.07111111111111;4.391471;224.44171;0.6569125
2020-01-03T11:00:00+0100;270000.0;235200.0;270000.0;;;5.376184082031273;87.23555555555555;4.992258;220.75389;0.66464823
2020-01-03T12:00:00+0100;260000.0;228000.0;260000.0;;;5.491784667968773;97.68888888888888;6.2983212;226.41447;0.5991269
2020-01-03T13:00:00+0100;270000.0;226800.0;270000.0;;;5.356500244140648;78.72;6.066742;231.90685;0.5856076
2020-01-03T14:00:00+0100;290000.0;211200.0;290000.0;;;5.067315673828148;36.49777777777778;5.618527;229.80196;0.5185308
2020-01-03T15:00:00+0100;280000.0;187800.0;280000.0;;;4.306176757812523;1.3155555555555556;5.341632;223.0496;0.5190037
2020-01-03T16:00:00+0100;240000.0;170400.0;240000.0;;;4.018945312500023;0.0;5.0641;206.81088;0.6271879
2020-01-03T17:00:00+0100;230000.0;156000.0;230000.0;;;3.926324462890648;0.0;5.5744166;207.69325;0.6468875
2020-01-03T18:00:00+0100;250000.0;117600.0;250000.0;;;4.027581787109398;0.0;6.4275904;230.3584;0.6801208
2020-01-03T19:00:00+0100;250000.0;115800.0;250000.0;;;3.1044860839843977;0.0;5.7400045;220.59401;0.73107064
2020-01-03T20:00:00+0100;150000.0;81600.0;150000.0;;;3.158258056640648;0.0;5.35678;226.74646;0.65943044
2020-01-03T21:00:00+0100;200000.0;91800.0;200000.0;;;3.083184814453148;1.4436538384485527e-14;4.3791704;236.74416;0.6992251
2020-01-03T22:00:00+0100;150000.0;98400.0;150000.0;;;1.7343078613281475;1.4456275682701086e-14;4.7673216;241.25723;0.7357849
2020-01-03T23:00:00+0100;140000.0;99000.0;140000.0;;;1.9164672851562727;1.4448322939299e-14;4.8331265;240.69754;0.74718386
2020-01-04T00:00:00+0100;110000.0;98400.0;110000.0;;;1.7350708007812727;1.4448380763414864e-14;4.3471475;244.54213;0.60379696
2020-01-04T01:00:00+0100;80000.0;99600.0;80000.0;;;1.3322387695312727;1.4432590924842418e-14;3.8866806;241.96573;0.5713874
2020-01-04T02:00:00+0100;90000.0;99000.0;90000.0;;;1.2934204101562727;1.4448380763414864e-14;4.6520667;239.90561;0.5339575
2020-01-04T03:00:00+0100;100000.0;97800.0;100000.0;;;1.4454589843750227;1.4452328223057977e-14;3.7839165;205.07558;0.54402834
2020-01-04T04:00:00+0100;90000.0;97800.0;90000.0;;;1.2599121093750227;1.4448380763414864e-14;2.8598835;220.17625;0.62731105
2020-01-04T05:00:00+0100;100000.0;98400.0;100000.0;;;1.3565002441406475;1.445621785858522e-14;2.579404;225.95401;0.6421728
2020-01-04T06:00:00+0100;100000.0;97800.0;100000.0;;;1.3675170898437727;1.4448380763414864e-14;2.047843;231.05292;0.67261386
2020-01-04T07:00:00+0100;100000.0;97800.0;100000.0;;;1.4771667480468975;-8.670601274000473e-14;2.3602798;253.27634;0.63742703
2020-01-04T08:00:00+0100;170000.0;108000.0;170000.0;;;1.6848693847656475;0.0;2.7753043;229.77946;0.6161558
2020-01-04T09:00:00+0100;180000.0;102600.0;180000.0;;;1.0922790527343975;7.208888888888889;1.8267531;275.78482;0.6166895
2020-01-04T10:00:00+0100;140000.0;102000.0;140000.0;;;0.9075561523437728;51.77777777777778;1.226495;237.7447;0.64298123
2020-01-04T11:00:00+0100;150000.0;100800.0;150000.0;;;1.7664123535156475;89.92;1.4929395;250.76743;0.598746
2020-01-04T12:00:00+0100;130000.0;91800.0;130000.0;;;2.4768920898437727;101.42222222222222;2.5282197;293.59924;0.49878556
2020-01-04T13:00:00+0100;120000.0;84000.0;120000.0;;;3.2324462890625227;82.18666666666667;4.607761;325.1659;0.4205386
2020-01-04T14:00:00+0100;120000.0;91200.0;120000.0;;;3.2668090820312727;38.75555555555555;4.7927003;334.2262;0.42542017
