Header_line;16
location;Oslo Norway
year_of_construction;1861
floor_area;10724
number_of_users;530
building_category;Sch
dhw_heat_source;DH
sh_heat_source;DH
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;8124

;Heat use;Heat import;Electricity import;Weather variable;Weather variable;Weather variable;Weather variable;Weather variable
;Wh;Wh;Wh;C;W/m2;m/s;deg;%
;Heat Total = HtSpace + HtDHW;Imported District Heating;Electricity imported ;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Relative Humidity
TimeStamp;HtTot;HtDH;ElImp;Tout;SolGlob;WindSpd;WindDir;RH
2017-01-02T13:00:00+0100;490000.0;490000.0;128000.0;0.6700683593750227;75.05777777777777;1.2912626;227.62663;0.70398545
2017-01-02T14:00:00+0100;500000.0;500000.0;119000.0;0.6567626953125227;35.76888888888889;1.070448;240.4538;0.7135527
2017-01-02T15:00:00+0100;490000.0;490000.0;125000.0;0.5752502441406477;1.3066666666666666;1.0129318;271.97632;0.7464963
2017-01-02T16:00:00+0100;500000.0;500000.0;111000.0;-0.0991577148437272;0.0088888888888888;0.933693;243.30441;0.7964993
2017-01-02T17:00:00+0100;520000.0;520000.0;103000.0;-1.4340881347656025;0.0;1.2574117;201.33878;0.8327082
2017-01-02T18:00:00+0100;530000.0;530000.0;100000.0;-0.9913391113281024;0.0;0.65993166;246.93713;0.80170244
2017-01-02T19:00:00+0100;540000.0;540000.0;96000.0;-1.6441711425781025;0.0;0.8286257;168.35223;0.7928679
2017-01-02T20:00:00+0100;560000.0;560000.0;94000.0;-2.305334472656228;0.0;0.72692573;353.06647;0.81253636
2017-01-02T21:00:00+0100;510000.0;510000.0;80000.0;-2.749914550781228;1.4112846693750372e-14;0.76988554;36.007553;0.8069518
2017-01-02T22:00:00+0100;150000.0;150000.0;49000.0;-2.3921569824218523;1.4116794153393484e-14;0.60674316;42.400463;0.7968353
2017-01-02T23:00:00+0100;180000.0;180000.0;46000.0;-2.256994628906228;1.4108841409991396e-14;0.95881736;65.53164;0.8007719
2017-01-03T00:00:00+0100;170000.0;170000.0;43000.0;-1.8958496093749773;1.4116794153393484e-14;0.85178816;71.50609;0.820303
2017-01-03T01:00:00+0100;180000.0;180000.0;43000.0;-1.7604736328124773;1.4116794153393484e-14;0.65713805;30.712807;0.8209431
2017-01-03T02:00:00+0100;180000.0;180000.0;44000.0;-1.5208496093749773;1.4116794153393484e-14;0.6692748;59.809338;0.7962549
2017-01-03T03:00:00+0100;180000.0;180000.0;43000.0;-1.5458129882812273;1.4112846693750372e-14;0.6074285;64.27969;0.8191584
2017-01-03T04:00:00+0100;250000.0;250000.0;44000.0;-1.7310546874999773;1.4116794153393484e-14;0.87986505;68.40984;0.82466733
2017-01-03T05:00:00+0100;280000.0;280000.0;42000.0;-1.6033386230468525;1.4108841409991396e-14;0.67955005;71.044495;0.83197635
2017-01-03T06:00:00+0100;240000.0;240000.0;54000.0;-1.7300476074218525;1.4116794153393484e-14;0.5738344;80.931755;0.838736
2017-01-03T07:00:00+0100;550000.0;550000.0;93000.0;-1.6843933105468525;-8.468491340273153e-14;0.7467568;140.07797;0.86516446
2017-01-03T08:00:00+0100;560000.0;560000.0;120000.0;-1.5449584960937273;0.0;0.84035426;146.9626;0.86295193
2017-01-03T09:00:00+0100;550000.0;550000.0;136000.0;-1.3288330078124773;2.6977777777777776;0.70341504;128.45056;0.854651
2017-01-03T10:00:00+0100;500000.0;500000.0;129000.0;-1.3335937499999773;4.6;0.85302806;142.03842;0.87019944
2017-01-03T11:00:00+0100;570000.0;570000.0;132000.0;-1.0907958984374773;15.493333333333334;1.27463;165.74551;0.8731293
2017-01-03T12:00:00+0100;540000.0;540000.0;134000.0;-0.4441894531249772;79.7688888888889;1.5964592;187.31377;0.89177555
2017-01-03T13:00:00+0100;500000.0;500000.0;135000.0;0.0041442871093977;79.36;2.0175693;171.0141;0.86374515
2017-01-03T14:00:00+0100;490000.0;490000.0;134000.0;0.6874328613281477;31.004444444444445;1.072619;194.25076;0.87816465
2017-01-03T15:00:00+0100;500000.0;500000.0;137000.0;0.5375915527343977;1.0844444444444443;1.0021403;141.49803;0.8933774
2017-01-03T16:00:00+0100;510000.0;510000.0;118000.0;0.2059265136718977;-0.0088888888888888;1.4155195;152.4415;0.91913426
2017-01-03T17:00:00+0100;510000.0;510000.0;104000.0;-0.3281921386718522;0.0;1.5869089;322.382;0.7529813
2017-01-03T18:00:00+0100;520000.0;520000.0;103000.0;-0.6079772949218523;0.0;1.6307257;334.3054;0.7375854
2017-01-03T19:00:00+0100;510000.0;510000.0;97000.0;-1.0286010742187273;0.0;1.7583055;155.39835;0.75017387
2017-01-03T20:00:00+0100;510000.0;510000.0;93000.0;-0.8299926757812273;0.0;1.8798567;158.56116;0.7277435
2017-01-03T21:00:00+0100;470000.0;470000.0;82000.0;-1.2369140624999773;1.6674748002129846e-14;2.3837357;165.96445;0.7176116
2017-01-03T22:00:00+0100;150000.0;150000.0;50000.0;-1.4025024414062273;1.6674751857070902e-14;1.1560686;95.78899;0.73151225
2017-01-03T23:00:00+0100;170000.0;170000.0;49000.0;-1.6430725097656025;1.6682581242359143e-14;1.468617;27.200665;0.77777684
2017-01-04T00:00:00+0100;180000.0;180000.0;47000.0;-1.1951660156249773;1.6722117517847184e-14;1.3798606;19.42498;0.79430187
2017-01-04T01:00:00+0100;170000.0;170000.0;52000.0;-1.3312438964843525;1.6753697194992082e-14;1.3473907;169.664;0.83298314
2017-01-04T02:00:00+0100;180000.0;180000.0;52000.0;-1.6001342773437273;1.6753697194992082e-14;2.0821602;66.98766;0.80290776
2017-01-04T03:00:00+0100;160000.0;160000.0;49000.0;-1.4479736328124773;1.6726064977490296e-14;2.289463;43.35006;0.84549505
