Header_line;15
location;Oslo Norway
year_of_construction;2020
number_of_users;576
building_category;Sch
dhw_heat_source;GSHP, HWH
sh_heat_source;GSHP, EB
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;8127

;Electricity use;Heat production;Electricity use;Electricity use;Electricity import;Heat use;Electricity use;Electricity use;Electricity production;Weather variable;Weather variable;Weather variable;Weather variable;Weather variable
;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;C;W/m2;m/s;deg;%
;Electricity for charging of electric vehicles;Heat from heat pumps;Electricity for hot water heater;Electricity for heat pump;Electricity imported ;Heat Total = HtSpace + HtDHW;Electricity exported;Electricity for electric boiler;Electricity production from PV;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Relative Humidity
TimeStamp;ElEV;HtHP;ElHWH;ElHP;ElImp;HtTot;ElExp;ElBoil;ElPV;Tout;SolGlob;WindSpd;WindDir;RH
2021-01-02T05:00:00+0100;0.0;5000.0;4600.0;200.0;151600.0;155850.0;0.0;150850.0;50.0;0.7410827636718977;2.2872251931933048e-14;2.6180344;22.09259;0.881842
2021-01-02T06:00:00+0100;0.0;5000.0;4600.0;200.0;273600.0;155850.0;0.0;150850.0;50.0;0.5975280761718977;-1.1440076509562481e-13;2.5362866;20.323784;0.8758148
2021-01-02T07:00:00+0100;0.0;0.0;9600.0;100.0;270800.0;196400.0;0.0;196400.0;0.0;0.5770507812500227;0.0;2.342305;9.885983;0.8514771
2021-01-02T08:00:00+0100;0.0;0.0;4199.999999999999;100.0;242800.0;176000.0;0.0;176000.0;0.0;0.7692504882812727;0.0;2.2237182;9.763564;0.84703684
2021-01-02T09:00:00+0100;0.0;0.0;6000.0;100.0;242400.0;172800.0;0.0;172800.0;0.0;0.6007629394531477;3.6266666666666665;2.206525;13.044196;0.83582175
2021-01-02T10:00:00+0100;0.0;10000.0;5900.0;200.0;233200.0;177800.0;0.0;167800.0;0.0;0.8207031250000227;12.48;2.1095707;16.097057;0.82910854
2021-01-02T11:00:00+0100;33.3333;0.0;5499.993;166.667;240000.0;183833.0;0.0;183833.0;33.3333;1.1449829101562727;46.50666666666667;2.3863616;20.906998;0.81359047
2021-01-02T12:00:00+0100;33.3333;0.0;5499.993;166.667;262400.0;183833.0;0.0;183833.0;33.3333;1.0937438964843975;62.38222222222223;3.0770862;21.703491;0.7943188
2021-01-02T13:00:00+0100;33.3333;0.0;5499.993;166.667;245200.0;183833.0;0.0;183833.0;33.3333;1.2251220703125227;49.653333333333336;2.7643287;28.130133;0.7923045
2021-01-02T14:00:00+0100;0.0;0.0;9200.0;200.0;233600.0;161000.0;0.0;161000.0;0.0;1.1988769531250227;18.702222222222225;2.5094006;25.392029;0.796226
2021-01-02T15:00:00+0100;0.0;0.0;3500.0;200.0;243200.0;176900.0;0.0;176900.0;0.0;0.9538818359375228;0.7111111111111111;2.6830018;26.055021;0.81157637
2021-01-02T16:00:00+0100;0.0;10000.0;7500.0;100.0;238800.0;174700.0;0.0;164700.0;100.0;0.8230834960937727;0.0088888888888888;2.7811406;32.43793;0.8276895
2021-01-02T17:00:00+0100;0.0;0.0;4000.0;200.0;256400.0;190100.0;0.0;190100.0;0.0;0.5537963867187727;0.0;2.8236187;26.916769;0.85532355
2021-01-02T18:00:00+0100;0.0;0.0;7800.0;100.0;269200.0;198800.0;0.0;198800.0;0.0;0.6994567871093977;0.0;2.4736812;12.114602;0.83753157
2021-01-02T19:00:00+0100;0.0;0.0;4300.000000000001;200.0;246400.0;177800.0;0.0;177800.0;0.0;0.6153503417968977;0.0;3.3683379;20.280983;0.84271926
2021-01-02T20:00:00+0100;0.0;3333.33;5866.669999999999;133.333;238000.0;134366.0;0.0;131033.0;33.3333;0.5740600585937727;0.0;3.4851084;28.626717;0.85327834
2021-01-02T21:00:00+0100;0.0;3333.33;5866.669999999999;133.333;204000.0;134366.0;0.0;131033.0;33.3333;0.6094299316406477;2.2422249242500443e-14;3.3140216;27.750391;0.86893404
2021-01-02T22:00:00+0100;0.0;3333.33;5866.669999999999;133.333;125200.0;134366.0;0.0;131033.0;33.3333;0.8510070800781477;2.2422249242500443e-14;2.7319906;32.541065;0.858466
2021-01-02T23:00:00+0100;0.0;0.0;5700.0;200.0;116400.0;69600.0;0.0;69600.0;0.0;0.8984008789062727;2.2438031371190763e-14;2.8846817;35.206722;0.87039804
2021-01-03T00:00:00+0100;0.0;0.0;1200.0;200.0;128000.0;86800.0;0.0;86800.0;0.0;0.8888793945312727;2.2422256952382552e-14;2.4213555;36.983974;0.86285996
2021-01-03T01:00:00+0100;0.0;5000.0;4050.0;200.0;122400.0;78500.0;0.0;73500.0;0.0;0.8716979980468977;2.2422249242500443e-14;2.5814655;30.360136;0.85764146
2021-01-03T02:00:00+0100;0.0;5000.0;4050.0;200.0;115200.0;78500.0;0.0;73500.0;0.0;0.7676025390625227;2.2422249242500443e-14;2.7658818;25.6598;0.8533993
2021-01-03T03:00:00+0100;0.0;0.0;7300.0;200.0;130400.0;81400.0;0.0;81400.0;100.0;0.6415039062500227;2.2426196702143542e-14;2.6109838;29.537436;0.8495692
2021-01-03T04:00:00+0100;0.0;0.0;3100.0;200.0;128400.0;84800.0;0.0;84800.0;0.0;0.4462829589843977;2.2414354323214212e-14;2.9786737;24.992092;0.8417259
