Header_line;17
location;Oslo Norway
year_of_construction;1936
floor_area;8695
number_of_users;700
building_category;Sch
dhw_heat_source;DH
sh_heat_source;DH
ventilation_heat_source;DH
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;8125

;Heat use;Heat import;Electricity import;Weather variable;Weather variable;Weather variable;Weather variable;Weather variable
;Wh;Wh;Wh;C;W/m2;m/s;deg;%
;Heat Total = HtSpace + HtDHW;Imported District Heating;Electricity imported ;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Relative Humidity
TimeStamp;HtTot;HtDH;ElImp;Tout;SolGlob;WindSpd;WindDir;RH
2012-10-01T00:00:00+0100;0.0;0.0;30000.0;11.196649169921898;0.0;2.8850644;200.14166;0.94849503
2012-10-01T01:00:00+0100;0.0;0.0;28000.0;11.230310058593773;0.0;2.350379;191.29056;0.96865946
2012-10-01T02:00:00+0100;0.0;0.0;28000.0;11.158166503906273;0.0;0.7914925;265.33908;0.9846053
2012-10-01T03:00:00+0100;0.0;0.0;30000.0;11.220605468750025;1.378870397491146e-14;0.6772101;136.13751;0.98033285
2012-10-01T04:00:00+0100;0.0;0.0;38000.0;11.684259033203148;-4.136344816046349e-14;4.4223485;198.06142;0.96046543
2012-10-01T05:00:00+0100;120000.0;120000.0;40000.0;11.863793945312525;0.0;3.4132705;210.24803;0.9815532
2012-10-01T06:00:00+0100;80000.0;80000.0;54000.0;11.641564941406273;2.102222222222222;4.8472853;196.25375;0.94210917
2012-10-01T07:00:00+0100;60000.0;60000.0;62000.0;11.600488281250025;35.702222222222225;4.144905;196.17091;0.92482865
2012-10-01T08:00:00+0100;40000.0;40000.0;62000.0;11.647729492187525;176.64647569444443;4.5360165;194.97581;0.89256376
2012-10-01T09:00:00+0100;40000.0;40000.0;64000.0;12.571923828125025;288.4351041666667;3.5831764;207.471;0.8280264
2012-10-01T10:00:00+0100;20000.0;20000.0;62000.0;12.874200439453148;357.48131944444447;4.039186;201.40889;0.8052981
2012-10-01T11:00:00+0100;40000.0;40000.0;64000.0;13.693902587890648;338.6254861111111;4.19028;206.7769;0.7682414
2012-10-01T12:00:00+0100;20000.0;20000.0;60000.0;13.909448242187525;391.24694444444447;4.1507535;209.67215;0.73999673
2012-10-01T13:00:00+0100;20000.0;20000.0;64000.0;14.532098388671898;370.79875;4.5058227;212.46461;0.68884873
